StreamID: 289
Parameters: FLOW_OUTcms, ORGN_OUTkg
Dates: 01/01/2001 - 12/31/2015



UTCoffset(sec)   Date(m/d/y)   FLOW_OUTcms   ORGN_OUTkg
1017705600       4/2/2002      0.6358        0.0          
1017792000       4/3/2002      0.5443        0.0          
1017878400       4/4/2002      0.5573        0.0          
1017964800       4/5/2002      0.5163        0.0          
1018051200       4/6/2002      0.5191        0.0          
1018137600       4/7/2002      0.4099        0.0          
1018224000       4/8/2002      0.3517        0.0          
1018310400       4/9/2002      0.3025        0.0          
1018396800       4/10/2002     0.2738        0.0          
1018483200       4/11/2002     0.2738        0.0          
1018569600       4/12/2002     0.271         0.0          
1018656000       4/13/2002     1.405         0.0          
1018742400       4/14/2002     2.967         0.0          
1018828800       4/15/2002     3.326         0.0          
1018915200       4/16/2002     2.824         0.0          
1019001600       4/17/2002     2.557         0.0          
1019088000       4/18/2002     2.15          0.0          
1019174400       4/19/2002     1.691         0.0          
1019260800       4/20/2002     1.566         0.0          
1019347200       4/21/2002     1.226         0.0          
1019433600       4/22/2002     1.348         0.0          
1019520000       4/23/2002     1.395         0.0          
1019606400       4/24/2002     1.18          0.0          
1019692800       4/25/2002     1.007         0.0          
1019779200       4/26/2002     0.8785        0.0          
1019865600       4/27/2002     0.9225        0.0          
1019952000       4/28/2002     0.8394        0.0          
1020038400       4/29/2002     0.6621        0.0          
1020124800       4/30/2002     0.8585        0.0          
1020211200       5/1/2002      0.7854        0.0          
1020297600       5/2/2002      0.5983        0.0          
1020384000       5/3/2002      0.6839        0.0          
1020470400       5/4/2002      2.048         0.0          
1020556800       5/5/2002      2.25          0.0          
1020643200       5/6/2002      2.415         0.0          
1020729600       5/7/2002      2.119         0.0          
1020816000       5/8/2002      1.632         0.0          
1020902400       5/9/2002      3.161         0.0          
1020988800       5/10/2002     6.513         0.0          
1021075200       5/11/2002     8.608         0.0          
1021161600       5/12/2002     22.36         0.0          
1021248000       5/13/2002     27.75         0.0          
1021334400       5/14/2002     28.09         0.0          
1021420800       5/15/2002     27.14         0.0          
1021507200       5/16/2002     26.96         0.0          
1021593600       5/17/2002     27.24         0.0          
1021680000       5/18/2002     24.87         0.0          
1021766400       5/19/2002     23.41         0.0          
1021852800       5/20/2002     19.71         0.0          
1021939200       5/21/2002     16.25         0.0          
